"id","name","address","local","city","state","zip","lat","lng","phone","description"
"1","Furry Friends Grooming Salon","198 Gainsborough Rd","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 676-4939","1. Furry Friends Grooming SalonPet GroomingWebsite"
"2","Bubbles and Bows Mobile Dog Grooming",,,,,,NULL,NULL,"(631) 533-2697","2. Bubbles and Bows Mobile Dog GroomingPet GroomingPet StoresWebsite12YEARSIN BUSINESS"
"3","Dippity DO Dog Pet Grooming Salon","41 Granny Rd","Farmingville, NY 11738","Farmingville",,"11738","40.837113","-73.044352","(631) 320-4090","3. Dippity DO Dog Pet Grooming SalonPet Grooming(1)"
"4","Bubbles & Biscuit","1484 Broadway Ave","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 676-6604","4. Bubbles & BiscuitPet Grooming11YEARSIN BUSINESSAmenities:Wheelchair accessible"
"5","Bark Avenue Bath & Biscuit","56 Timber Ridge Dr","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 580-3263","5. Bark Avenue Bath & BiscuitPet GroomingWebsite"
"6","Grooming Gals","325 Union Ave","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 676-4939","6. Grooming GalsPet GroomingWebsite"
"7","Bark Bath & Beyond","2 Warren Ave","Ronkonkoma, NY 11779","Ronkonkoma",,"11779","40.828205","-73.118972","(631) 737-1117","7. Bark Bath & BeyondPet Grooming"
"8","Ooh La La Posh Pets Grooming and Boutique","1232 Grundy Ave","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 676-3637","8. Ooh La La Posh Pets Grooming and BoutiquePet GroomingWebsite"
"9","Pet Wise Products",,,,,,NULL,NULL,"(888) 745-7973","10. Pet Wise ProductsPet Grooming"
"10","Dog Training With Love",,,,,,NULL,NULL,"(877) 936-3163","11. Dog Training With LovePet Grooming"
"11","Zoomin Groomin - Smithtown, NY",,,,,,NULL,NULL,"(631) 515-5600","12. Zoomin Groomin - Smithtown, NYPet GroomingPet ServicesPet Sitting & Exercising ServicesWebsite"
"12","Angel Touch Pet Spa Inc.","1232 Grundy Ave","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 676-3637","13. Angel Touch Pet Spa Inc.Pet Grooming(2)"
"13","Pretty Puppy","1882 Railroad Ave","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 467-2277","14. Pretty PuppyPet Grooming"
"14","Ultrapet Mobile Grooming",,,,,,NULL,NULL,"(631) 473-1922","15. Ultrapet Mobile GroomingPet GroomingPet Boarding & KennelsKennels"
"15","Shear Pawfection Mobile Grooming","6 Avenue C","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 580-3984","16. Shear Pawfection Mobile GroomingPet Grooming"
"16","Dogstar Mobile Grooming",,,,,,NULL,NULL,"(631) 261-2619","17. Dogstar Mobile GroomingPet Grooming(1)"
"17","Clean As A Whisker","478 Hawkins Ave","Ronkonkoma, NY 11779","Ronkonkoma",,"11779","40.828205","-73.118972","(631) 738-7888","18. Clean As A WhiskerPet GroomingPet Stores(5)Website22YEARSIN BUSINESS"
"18","The Fur Machine","600 Portion Rd","Ronkonkoma, NY 11779","Ronkonkoma",,"11779","40.828205","-73.118972","(631) 588-1005","19. The Fur MachinePet GroomingWebsite22YEARSIN BUSINESS"
"19","Lawrence Labs Inc","780 Broadway Ave Ste 1","Holbrook, NY 11741","Holbrook",,"11741","40.798188","-73.076253","(631) 218-7680","20. Lawrence Labs IncPet GroomingPet TrainingWebsite24YEARSIN BUSINESS"
"20","Polished Pups","3139 Route 112","Medford, NY 11763","Medford",,"11763","40.816842","-72.984605","(631) 451-8158","21. Polished PupsPet GroomingPet ServicesPet Boarding & KennelsWebsite27YEARSIN BUSINESS"
"21","Pets Unlimited Boutiq","204 Addison Pl","Medford, NY 11763","Medford",,"11763","40.816842","-72.984605","(631) 320-3769","22. Pets Unlimited BoutiqPet Grooming"
"22","Barks & Bubbles Couture","1800B Middle Country Rd","Centereach, NY 11720","Centereach",,"11720","40.871518","-73.084611","(631) 456-5362","23. Barks & Bubbles CouturePet Grooming(1)17YEARSIN BUSINESS"
"23","Blue Ribbon Pet Products Inc","1545 Ocean Ave","Bohemia, NY 11716","Bohemia",,"11716","40.770237","-73.112442","(631) 864-1555","25. Blue Ribbon Pet Products IncPet GroomingWebsite"
"24","The Groomery","2750 Middle Country Rd","Lake Grove, NY 11755","Lake Grove",,"11755","40.858261","-73.117533","(631) 751-7815","26. The GroomeryPet GroomingWebsite"
"25","Bark Ave Bath & Biscuits","325 Smithtown Blvd","Lake Ronkonkoma, NY 11779","Lake Ronkonkoma",,"11779","40.828205","-73.118972","(631) 580-3263","29. Bark Ave Bath & BiscuitsPet GroomingWebsite"
"26","Lady-the Tramp Dog-Cat Grooming","57 N Ocean Ave","Patchogue, NY 11772","Patchogue",,"11772","40.77421","-73.00238","(631) 654-5534","30. Lady-the Tramp Dog-Cat GroomingPet Grooming38YEARSIN BUSINESS"
"27","South Shore Grooming","1091 Smithtown Ave","Bohemia, NY 11716","Bohemia",,"11716","40.770237","-73.112442","(631) 218-2637","31. South Shore GroomingPet Grooming21YEARSIN BUSINESS"
"28","Greendog Inc","106 Railroad Ave","Sayville, NY 11782","Sayville",,"11782","40.734181","-73.080076","(631) 750-6969","32. Greendog IncPet Grooming(1)Website13YEARSIN BUSINESS"
"29","Doggy Diamonds","697 Old Town Rd","Port Jefferson Station, NY 11776","Port Jefferson Station",,"11776","40.90984","-73.046164","(631) 828-8308","33. Doggy DiamondsPet GroomingPet Stores(2)15YEARSIN BUSINESS"
"30","At Your Home Dog Groo","127 Avalon Pines Dr","Coram, NY 11727","Coram",,"11727","40.885609","-73.006703","(631) 608-3311","36. At Your Home Dog GrooPet Grooming"
"31","Pet Port","145 Middle Rd","Sayville, NY 11782","Sayville",,"11782","40.734181","-73.080076","(631) 589-4561","37. Pet PortPet GroomingPet StoresWebsite27YEARSIN BUSINESS"
"32","Little Wonders Puppy Emporium","15 Main St","Sayville, NY 11782","Sayville",,"11782","40.734181","-73.080076","(631) 244-7877","38. Little Wonders Puppy EmporiumPet GroomingBBB Rating: A+WebsiteAmenities:Wheelchair accessible"
"33","Paws Up","200 Middle Country Rd","Middle Island, NY 11953","Middle Island",,"11953","40.87772","-72.955011","(631) 320-1818","39. Paws UpPet GroomingPet Stores"
"34","Poshy Canines and Felines","11 Sun Valley Dr","Coram, NY 11727","Coram",,"11727","40.885609","-73.006703","(631) 875-6621","41. Poshy Canines and FelinesPet GroomingPet Specialty ServicesPet Services17YEARSIN BUSINESS"
"35","Debonaire the Dog","287 Middle Country Rd","Middle Island, NY 11953","Middle Island",,"11953","40.87772","-72.955011","(631) 775-7652","42. Debonaire the DogPet GroomingWebsite"
"36","The Pampered Pup","4 Poet Ln","East Setauket, NY 11733","East Setauket",,"11733","40.93285","-73.108934","(631) 356-8182","43. The Pampered PupPet Grooming"
"37","Muddy Paws Grooming Salon","1211 Montauk Hwy","Oakdale, NY 11769","Oakdale",,"11769","40.739823","-73.133122","(631) 319-1951","44. Muddy Paws Grooming SalonPet Grooming"
"38","Canine Grooming To The Max","141 Blue Point Ave","Blue Point, NY 11715","Blue Point",,"11715","40.747173","-73.039885","(516) 381-1296","46. Canine Grooming To The MaxPet Grooming18YEARSIN BUSINESS"
"39","Smith Haven Grooming","810 Middle Country Rd","Saint James, NY 11780","Saint James",,"11780","40.880815","-73.157296","(631) 656-6034","47. Smith Haven GroomingPet GroomingWebsite27YEARSIN BUSINESS"
"40","Dark Starr Kennels Inc","77 S Swezeytown Rd","Middle Island, NY 11953","Middle Island",,"11953","40.87772","-72.955011","(631) 732-6227","48. Dark Starr Kennels IncPet Grooming15YEARSIN BUSINESS"
"41","Bandanas Dog Grooming","260 Smithtown Blvd","Nesconset, NY 11767","Nesconset",,"11767","40.843134","-73.147736","(631) 979-1100","49. Bandanas Dog GroomingPet Grooming"
"42","Petpourri Mobile Grooming Inc","50 Mount Sinai Coram Rd","Coram, NY 11727","Coram",,"11727","40.885609","-73.006703","(631) 696-3282","50. Petpourri Mobile Grooming IncPet Grooming(6)"
"43","Lakeside Grooming","292 Smithtown Blvd","Nesconset, NY 11767","Nesconset",,"11767","40.843134","-73.147736","(631) 585-2525","51. Lakeside GroomingPet Grooming(5)21YEARSIN BUSINESS"
"44","Happy Tails","30 Sharon Dr","Coram, NY 11727","Coram",,"11727","40.885609","-73.006703","(631) 474-1335","52. Happy TailsPet GroomingDog & Cat Grooming & Supplies22YEARSIN BUSINESS"
"45","Dog Days Grooming","1242 Montauk Hwy","Oakdale, NY 11769","Oakdale",,"11769","40.739823","-73.133122","(631) 750-0655","53. Dog Days GroomingPet GroomingBBB Rating: A"
"46","St. James Dog Grooming","425 Route 25a","Saint James, NY 11780","Saint James",,"11780","40.880815","-73.157296","(631) 862-7288","54. St. James Dog GroomingPet GroomingPet Services75YEARSIN BUSINESS"
"47","Tiger Lilys Dog Grooming","1177 Middle Country Rd","Middle Island, NY 11953","Middle Island",,"11953","40.87772","-72.955011","(631) 775-8227","55. Tiger Lilys Dog GroomingPet GroomingWebsite"
"48","Splash and Dash Groomerie & Boutique","556 Route 25a","Saint James, NY 11780","Saint James",,"11780","40.880815","-73.157296","(631) 686-6880","58. Splash and Dash Groomerie & BoutiquePet GroomingPet ServicesPet StoresWebsite"
"49","Alpha Dog Salon","21 Singer Ln","Smithtown, NY 11787","Smithtown",,"11787","40.855292","-73.209738","(631) 609-5550","59. Alpha Dog SalonPet Grooming"
"50","Pets Wishes","580 Route 25a","Saint James, NY 11780","Saint James",,"11780","40.880815","-73.157296","(631) 862-8663","60. Pets WishesPet GroomingPet Specialty ServicesPet Sitting & Exercising ServicesServices49YEARSIN BUSINESS"
