"id","name","address","local","city","state","zip","lat","lng","phone","description","created_at","updated_at"
"1","The Bed & Biscuit Pet Resort",,"Huntington, NY 11743","Huntington","NY","11743",NULL,NULL,"(631) 360-0379","1. The Bed & Biscuit Pet ResortPet Boarding & Kennels",NULL,NULL
"2","Poochy Couture Grooming INC.","2229 route 112","Coram, NY 11727","Coram","NY","11727",NULL,NULL,"(631) 880-3505","45. Poochy Couture Grooming INC.Pet Boarding & KennelsPet ServicesDog & Cat Grooming & Supplies(1)Amenities:Wheelchair accessible",NULL,NULL
"3","Pet Expressions","810 Middle Country Rd Ste 3","Saint James, NY 11780","Saint James","NY","11780",NULL,NULL,"(631) 361-3331","49. Pet ExpressionsPet Boarding & KennelsPet Sitting & Exercising ServicesKennels",NULL,NULL
"4","K9 Etiquette","59 Bridge St","South Hadley, MA 01075","South Hadley","MA","01075",NULL,NULL,"(413) 387-4368","51. K9 EtiquettePet Boarding & KennelsPet TrainingPet ServicesWebsite",NULL,NULL
"5","Thyro-Cat","227 Union Ave","Holbrook, NY 11741","Holbrook","NY","11741",NULL,NULL,"(631) 467-8228","2. Thyro-CatPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsWebsiteServices23 Yearsin Business",NULL,NULL
"6","Smithaven Veterinary Hospital","810 Middle Country Rd","Saint James, NY 11780","Saint James","NY","11780",NULL,NULL,"(631) 265-1438","47. Smithaven Veterinary HospitalPet Boarding & KennelsVeterinariansVeterinary Clinics & Hospitals(2)Services39 Yearsin Business",NULL,NULL
"7","Pamela Brown DVM","1191 Montauk Hwy","Oakdale, NY 11769","Oakdale","NY","11769",NULL,NULL,"(631) 567-3050","50. Pamela Brown DVMPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsServices",NULL,NULL
"8","The Grooming Room","1394 Memorial Dr","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 536-4823","52. The Grooming RoomPet Boarding & KennelsPet GroomingKennels(1)Website",NULL,NULL
"9","MacArthur Park K9 Center","1845 Pond Rd","Ronkonkoma, NY 11779","Ronkonkoma","NY","11779",NULL,NULL,"(631) 676-5580","4. MacArthur Park K9 CenterPet Boarding & KennelsPet ServicesDog TrainingCouponsDirections",NULL,NULL
"10","Wallys World of Dogs","143 Middle Island Rd","Medford, NY 11763","Medford","NY","11763",NULL,NULL,"(631) 729-1664","5. Wallys World of DogsPet Boarding & KennelsWebsite",NULL,NULL
"11","Planet Pooches Inc","157 Chestnut St","Mount Sinai, NY 11766","Mount Sinai","NY","11766",NULL,NULL,"(631) 743-9410","51. Planet Pooches IncPet Boarding & KennelsKennelsPet Sitting & Exercising Services",NULL,NULL
"12","Bark Palace Dog Day Care Kennel","8 Southwood Dr","Bloomfield, CT 06002","Bloomfield","CT","06002",NULL,NULL,"(860) 461-0185","53. Bark Palace Dog Day Care KennelPet Boarding & KennelsPet ServicesPet Sitting & Exercising Services(2)Website12 Yearsin Business",NULL,NULL
"13","Petite Pets Boarding & Grooming Inc","141 Medford Ave","Patchogue, NY 11772","Patchogue","NY","11772",NULL,NULL,"(631) 730-5929","6. Petite Pets Boarding & Grooming IncPet Boarding & KennelsKennelsPet Grooming(2)",NULL,NULL
"14","Pamper Ur Poochie Boarding Parlor","6 quaker ln","selden, NY 11784","selden","NY","11784",NULL,NULL,"(631) 860-3093","7. Pamper Ur Poochie Boarding ParlorPet Boarding & KennelsDog TrainingDog Day Care11 Yearsin Business",NULL,NULL
"15","Snow Drift Kennels","95 Montauk Hwy","Blue Point, NY 11715","Blue Point","NY","11715",NULL,NULL,"(631) 363-2226","8. Snow Drift KennelsPet Boarding & Kennels45 Yearsin Business",NULL,NULL
"16","Woof Sitters","7 Tulip Hill Ln","South Setauket, NY 11720","South Setauket","NY","11720",NULL,NULL,"(631) 732-5555","9. Woof SittersPet Boarding & KennelsKennelsPet Sitting & Exercising Services",NULL,NULL
"17","Brookhaven Cat Hospital","60 Route 25A Ste 3","East Setauket, NY 11733","East Setauket","NY","11733",NULL,NULL,"(631) 689-8282","52. Brookhaven Cat HospitalPet Boarding & KennelsDog & Cat Grooming & SuppliesPet Services(40)WebsiteDirections20 Yearsin Business",NULL,NULL
"18","Pampered Pet Sitting","247 Northampton St Ste B","Easthampton, MA 01027","Easthampton","MA","01027",NULL,NULL,"(413) 529-0011","54. Pampered Pet SittingPet Boarding & KennelsPet Sitting & Exercising ServicesKennelsWebsite16 Yearsin BusinessAccreditedBusiness",NULL,NULL
"19","Barking Bublles","52 W State St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-1620","55. Barking BubllesPet Boarding & KennelsKennelsPet Grooming",NULL,NULL
"20","Pooch Pad","132 Carleton Ave","East Islip, NY 11730","East Islip","NY","11730",NULL,NULL,"(631) 277-4333","53. Pooch PadPet Boarding & KennelsPet GroomingPet Stores(2)40 Yearsin BusinessAmenities:Wheelchair accessible",NULL,NULL
"21","Hounds Town - Port Jeff","509 Bicycle Path","Port Jefferson Station, NY 11776","Port Jefferson Station","NY","11776",NULL,NULL,"(631) 476-9320","10. Hounds Town - Port JeffPet Boarding & KennelsKennelsWebsiteAmenities:Wheelchair accessible",NULL,NULL
"22","Granby Animal Clinic Inc","51 W State St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-9280","56. Granby Animal Clinic IncPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServicesAmenities:Wheelchair accessible",NULL,NULL
"23","Save-A-Pet Animal Rescue","608 Patchogue Rd","Port Jefferson Station, NY 11776","Port Jefferson Station","NY","11776",NULL,NULL,"(631) 473-6333","54. Save-A-Pet Animal RescuePet Boarding & KennelsKennelsPet Services(2)Website26 Yearsin Business",NULL,NULL
"76","Pet Expressions","479 Lake Avenue","Saint James, NY 11780","Saint James","NY","11780",NULL,NULL,"(631) 361-3331","11. Pet ExpressionsPet Boarding & KennelsPet GroomingPet Sitting & Exercising Services(3)33 Yearsin Business",NULL,NULL
"77","Windsor Animal Clinic","46 Poquonock Ave","Windsor, CT 06095","Windsor","CT","06095",NULL,NULL,"(860) 688-4969","57. Windsor Animal ClinicPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsWebsiteServices68 Yearsin Business",NULL,NULL
"78","Smittys Pet Resort & Spa - Dog Boarding Kennel","103 Currans Rd","Middle Island, NY 11953","Middle Island","NY","11953",NULL,NULL,"(631) 345-0000","13. Smittys Pet Resort & Spa - Dog Boarding KennelPet Boarding & Kennels49 Yearsin Business",NULL,NULL
"79","The Green Groomer","123 Hawley St","Northampton, MA 01060","Northampton","MA","01060",NULL,NULL,"(413) 586-7226","58. The Green GroomerPet Boarding & KennelsPet GroomingPet StoresWebsiteAccreditedBusiness",NULL,NULL
"80","Little Monsters Pet Sitting and Boarding","Chestnut St","Mount Sinai, NY 11766","Mount Sinai","NY","11766",NULL,NULL,"(631) 834-6698","14. Little Monsters Pet Sitting and BoardingPet Boarding & KennelsWebsite",NULL,NULL
"81","Wags and Tails Kennel Enterprises","101 Currans Rd","Middle Island, NY 11953","Middle Island","NY","11953",NULL,NULL,"(631) 924-7777","15. Wags and Tails Kennel EnterprisesPet Boarding & KennelsPet ServicesKennels(1)Website",NULL,NULL
"82","Fonab Kennels","132 Cowie Rd","Commack, NY 11725","Commack","NY","11725",NULL,NULL,"(631) 543-0325","16. Fonab KennelsPet Boarding & KennelsPet Services45 Yearsin Business",NULL,NULL
"83","The Social Hound Dog Park and Hotel","130 N Belle Mead Ave Ste 130","East Setauket, NY 11733","East Setauket","NY","11733",NULL,NULL,"(631) 675-0024","48. The Social Hound Dog Park and HotelPet Boarding & KennelsPet ServicesKennels(1)Website9 Yearsin Business",NULL,NULL
"84","Red Dog Inn","88 Tariffville Rd","Bloomfield, CT 06002","Bloomfield","CT","06002",NULL,NULL,"(860) 242-5618","59. Red Dog InnPet Boarding & KennelsKennelsPet Sitting & Exercising Services47 Yearsin Business",NULL,NULL
"85","kats pet care","85 Meadow Glen Rd","Northport, NY 11768","Northport","NY","11768",NULL,NULL,"(631) 880-2130","18. kats pet carePet Boarding & Kennels",NULL,NULL
"86","Bark Inn Kennel","183 Wales Rd","Stafford Springs, CT 06076","Stafford Springs","CT","06076",NULL,NULL,"(860) 684-7436","60. Bark Inn KennelPet Boarding & KennelsKennelsWebsite28 Yearsin Business",NULL,NULL
"87","All 4 Paws","392 Carnation Dr","Shirley, NY 11967","Shirley","NY","11967",NULL,NULL,"(631) 205-0025","55. All 4 PawsPet Boarding & KennelsPet Sitting & Exercising ServicesPet Stores",NULL,NULL
"88","Bow Wow Boulevard","214 Main St","Center Moriches, NY 11934","Center Moriches","NY","11934",NULL,NULL,"(631) 657-3684","19. Bow Wow BoulevardPet Boarding & Kennels13 Yearsin Business",NULL,NULL
"89","Bark Inn Kennel","183 Wales Rd","Stafford Springs, CT 06076","Stafford Springs","CT","06076",NULL,NULL,"(860) 684-7436","61. Bark Inn KennelPet Boarding & KennelsKennelsWebsite28 Yearsin Business",NULL,NULL
"90","Homeboarding For Dogs","1543 Manatuck Blvd","Bay Shore, NY 11706","Bay Shore","NY","11706",NULL,NULL,"(917) 559-9011","20. Homeboarding For DogsPet Boarding & Kennels",NULL,NULL
"91","Earth Dog","1515 Main St","Port Jefferson, NY 11777","Port Jefferson","NY","11777",NULL,NULL,"(631) 509-1805","56. Earth DogPet Boarding & KennelsPet TrainingPet GroomingWebsite",NULL,NULL
"92","North East Rottweiler Rescue & Referral","65 Alpine Dr","Amherst, MA 01002","Amherst","MA","01002",NULL,NULL,"(866) 392-0102","1. North East Rottweiler Rescue & ReferralPet Boarding & KennelsAccreditedBusiness",NULL,NULL
