"id","name","address","local","city","state","zip","lat","lng","phone","description"
"965","VIP Animal Hospital","444 N Broad St","Elizabeth, NJ 07208","Elizabeth",,"07208","40.67442","-74.225148","(908) 289-7387","123. VIP Animal HospitalVeterinariansVeterinary Clinics & HospitalsVeterinary Specialty Services(2)Website37YEARSIN BUSINESSAmenities:Wheelchair accessible"
"964","Scott Witham DVM","562 Springfield Ave","Westfield, NJ 07090","Westfield",,"07090","40.646334","-74.345624","(908) 232-1048","117. Scott Witham DVMVeterinarians"
"963","Benn Doyle DVM","562 Springfield Ave","Westfield, NJ 07090","Westfield",,"07090","40.646334","-74.345624","(908) 232-1048","116. Benn Doyle DVMVeterinarians"
"962","VCA Animal Hospitals","4236 Hylan Blvd","Staten Island, NY 10312","Staten Island",,"10312","40.542579","-74.178991","(718) 984-1000","115. VCA Animal HospitalsVeterinariansVeterinary Clinics & HospitalsWebsite45YEARSIN BUSINESS"
"961","Eltingville Veterinary Prctc","4353 Hylan Blvd","Staten Island, NY 10312","Staten Island",,"10312","40.542579","-74.178991","(718) 356-0347","114. Eltingville Veterinary PrctcVeterinariansVeterinary Clinics & HospitalsWebsite9YEARSIN BUSINESS"
"960","Animal Medical Group","947 Prospect Ave","Plainfield, NJ 07060","Plainfield",,"07060","40.615344","-74.421023","(908) 756-1488","113. Animal Medical GroupVeterinariansWebsite43YEARSIN BUSINESS"
"959","Viado, Daniel DVM","640 Willowbrook Rd","Staten Island, NY 10314","Staten Island",,"10314","40.606393","-74.152402","(718) 698-1400","112. Viado, Daniel DVMVeterinariansVeterinary Clinics & Hospitals"
"958","L E Smith Jr DVM","429 Boulevard","Kenilworth, NJ 07033","Kenilworth",,"07033","40.678129","-74.294073","(908) 276-1661","110. L E Smith Jr DVMVeterinarians22YEARSIN BUSINESS"
"957","Village Animal Hospital","465 Chestnut St","Union, NJ 07083","Union",,"07083","40.691867","-74.269598","(908) 258-7963","108. Village Animal HospitalVeterinariansVeterinary Clinics & HospitalsVeterinary Specialty Services(1)BBB Rating: A+Website16YEARSIN BUSINESSAmenities:Wheelchair accessible"
"956","Staten Island Animal Hospital","640 Willowbrook Rd","Staten Island, NY 10314","Staten Island",,"10314","40.606393","-74.152402","(347) 708-5473","107. Staten Island Animal HospitalVeterinariansVeterinary Clinics & HospitalsPet Grooming(2)Website32YEARSIN BUSINESS"
"955","Forest Animal Hospital","1050 Forest Ave","Staten Island, NY 10310","Staten Island",,"10310","40.630863","-74.117886","(718) 442-4377","106. Forest Animal HospitalVeterinarians(2)58YEARSIN BUSINESS"
"954","Wallace Barteaux DVM","562 Springfield Ave","Westfield, NJ 07090","Westfield",,"07090","40.646334","-74.345624","(908) 232-1048","105. Wallace Barteaux DVMVeterinarians(1)"
"953","Pets On Budget Veterinary Hospital","2047 Us Highway 22 W","Union, NJ 07083","Union",,"07083","40.691867","-74.269598","(908) 688-1640","104. Pets On Budget Veterinary HospitalVeterinariansVeterinary Clinics & Hospitals(12)BBB Rating: A+11YEARSIN BUSINESS"
"952","Boulevard Veterinary Clinic","429 Boulevard","Kenilworth, NJ 07033","Kenilworth",,"07033","40.678129","-74.294073","(908) 276-1661","103. Boulevard Veterinary ClinicVeterinariansVeterinary Specialty ServicesVeterinary Clinics & Hospitals(4)BBB Rating: A+Website37YEARSIN BUSINESS"
